Day;Month;Year;Time;Team;BP;BC;BP%;BC%;Tirs%;TR%;AN%;DN%;PUN
05;JANVIER;2020;14:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
05;JANVIER;2020;16:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
05;JANVIER;2020;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
05;JANVIER;2020;16:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
05;JANVIER;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
09;JANVIER;2020;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
09;JANVIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
10;JANVIER;2020;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
10;JANVIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
10;JANVIER;2020;19:45;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
10;JANVIER;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
10;JANVIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
10;JANVIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
15;JANVIER;2020;19:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
15;JANVIER;2020;19:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
15;JANVIER;2020;20:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
15;JANVIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
16;JANVIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
16;JANVIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
17;JANVIER;2020;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
17;JANVIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
17;JANVIER;2020;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
17;JANVIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
17;JANVIER;2020;19:45;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
17;JANVIER;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
19;JANVIER;2020;14:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
19;JANVIER;2020;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
19;JANVIER;2020;14:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
19;JANVIER;2020;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
19;JANVIER;2020;15:45;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
19;JANVIER;2020;15:45;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
19;JANVIER;2020;16:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
19;JANVIER;2020;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
24;JANVIER;2020;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
24;JANVIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
24;JANVIER;2020;19:30;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
24;JANVIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
24;JANVIER;2020;19:30;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
24;JANVIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
24;JANVIER;2020;19:45;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
24;JANVIER;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
24;JANVIER;2020;20:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
24;JANVIER;2020;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
26;JANVIER;2020;15:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
26;JANVIER;2020;15:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
26;JANVIER;2020;16:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
26;JANVIER;2020;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
26;JANVIER;2020;16:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
26;JANVIER;2020;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
26;JANVIER;2020;16:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
26;JANVIER;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
30;JANVIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
30;JANVIER;2020;19:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
30;JANVIER;2020;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
30;JANVIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
31;JANVIER;2020;19:15;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
31;JANVIER;2020;19:15;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
31;JANVIER;2020;19:45;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
31;JANVIER;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
31;JANVIER;2020;20:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
31;JANVIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
31;JANVIER;2020;20:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
31;JANVIER;2020;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
31;JANVIER;2020;20:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
31;JANVIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
01;FÉVRIER;2020;16:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
01;FÉVRIER;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
01;FÉVRIER;2020;20:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
01;FÉVRIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
02;FÉVRIER;2020;13:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
02;FÉVRIER;2020;13:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
02;FÉVRIER;2020;14:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
02;FÉVRIER;2020;14:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
02;FÉVRIER;2020;14:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
02;FÉVRIER;2020;14:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
02;FÉVRIER;2020;14:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
02;FÉVRIER;2020;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
03;FÉVRIER;2020;19:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
03;FÉVRIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
04;FÉVRIER;2020;19:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
04;FÉVRIER;2020;19:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
05;FÉVRIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
05;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
08;FÉVRIER;2020;15:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
08;FÉVRIER;2020;15:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
09;FÉVRIER;2020;13:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
09;FÉVRIER;2020;13:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
09;FÉVRIER;2020;14:00;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
09;FÉVRIER;2020;14:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
09;FÉVRIER;2020;14:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
09;FÉVRIER;2020;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
09;FÉVRIER;2020;15:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
09;FÉVRIER;2020;15:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
09;FÉVRIER;2020;16:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
09;FÉVRIER;2020;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
12;FÉVRIER;2020;19:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
12;FÉVRIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
13;FÉVRIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
13;FÉVRIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
13;FÉVRIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
13;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
14;FÉVRIER;2020;19:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
14;FÉVRIER;2020;19:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
14;FÉVRIER;2020;19:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
14;FÉVRIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
14;FÉVRIER;2020;19:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
14;FÉVRIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
14;FÉVRIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
14;FÉVRIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
15;FÉVRIER;2020;20:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
15;FÉVRIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
16;FÉVRIER;2020;14:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
16;FÉVRIER;2020;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
16;FÉVRIER;2020;14:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
16;FÉVRIER;2020;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
16;FÉVRIER;2020;16:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
16;FÉVRIER;2020;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
16;FÉVRIER;2020;16:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
16;FÉVRIER;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
20;FÉVRIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
20;FÉVRIER;2020;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
20;FÉVRIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
20;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
21;FÉVRIER;2020;19:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
21;FÉVRIER;2020;19:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
21;FÉVRIER;2020;19:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
21;FÉVRIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
21;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
21;FÉVRIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
21;FÉVRIER;2020;19:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
21;FÉVRIER;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
21;FÉVRIER;2020;20:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
21;FÉVRIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
22;FÉVRIER;2020;15:45;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
22;FÉVRIER;2020;15:45;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
23;FÉVRIER;2020;14:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
23;FÉVRIER;2020;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
23;FÉVRIER;2020;16:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
23;FÉVRIER;2020;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
23;FÉVRIER;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
23;FÉVRIER;2020;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
25;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
25;FÉVRIER;2020;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
25;FÉVRIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
25;FÉVRIER;2020;19:30;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
26;FÉVRIER;2020;19:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
26;FÉVRIER;2020;19:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
27;FÉVRIER;2020;19:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
27;FÉVRIER;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
28;FÉVRIER;2020;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
28;FÉVRIER;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
28;FÉVRIER;2020;19:45;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
28;FÉVRIER;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
28;FÉVRIER;2020;20:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
28;FÉVRIER;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
28;FÉVRIER;2020;20:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
28;FÉVRIER;2020;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
29;FÉVRIER;2020;20:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
29;FÉVRIER;2020;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
01;MARS;2020;13:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
01;MARS;2020;13:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
01;MARS;2020;14:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
01;MARS;2020;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
01;MARS;2020;16:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
01;MARS;2020;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
01;MARS;2020;16:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
01;MARS;2020;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
01;MARS;2020;16:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
01;MARS;2020;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
02;MARS;2020;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
02;MARS;2020;19:30;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
02;MARS;2020;20:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
02;MARS;2020;20:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
05;MARS;2020;19:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
05;MARS;2020;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
06;MARS;2020;19:00;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
06;MARS;2020;19:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
06;MARS;2020;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
06;MARS;2020;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
06;MARS;2020;19:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
06;MARS;2020;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
06;MARS;2020;19:45;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
06;MARS;2020;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
06;MARS;2020;20:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
06;MARS;2020;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
07;MARS;2020;15:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
07;MARS;2020;15:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
08;MARS;2020;14:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
08;MARS;2020;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
08;MARS;2020;14:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
08;MARS;2020;14:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
