"Date","Location","Team","GF","GA","GF%","GA%","Sh%","Sv%","PP%","PK%","PenaltyTime","Final","Score"
"06.09.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","5"
"06.09.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","2"
"06.09.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","5"
"06.09.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","3"
"06.09.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","1"
"06.09.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","5"
"06.09.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","5"
"06.09.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","3"
"06.09.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","4"
"06.09.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","7"
"07.09.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"07.09.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","4"
"08.09.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","2"
"08.09.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","7"
"08.09.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","2"
"08.09.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Win","4"
"08.09.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","5"
"08.09.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"12.09.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","4"
"12.09.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","1"
"13.09.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","3"
"13.09.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","5"
"13.09.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"13.09.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","4"
"13.09.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","0"
"13.09.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","5"
"13.09.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","5"
"13.09.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"13.09.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","3"
"13.09.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","5"
"13.09.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Win","8"
"13.09.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","1"
"15.09.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","3"
"15.09.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"15.09.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","5"
"15.09.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","2"
"15.09.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","5"
"15.09.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","6"
"15.09.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","2"
"15.09.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","4"
"18.09.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","5"
"18.09.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","6"
"19.09.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","7"
"19.09.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"20.09.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","3"
"20.09.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","5"
"20.09.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","4"
"20.09.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","0"
"20.09.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","8"
"20.09.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","4"
"20.09.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","11"
